150
26,79,16,46,90,26,36,56,95,89,87,47,75,80,20,21,77,42,5,49,55,53,50,87,25,16,90,37,22,95,70,0,4,10,91,30,85,14,6,15,38,91,46,95,62,49,52,57,44,69,54,57,34,44,2,80,77,80,87,59,52,3,85,62,23,71,85,35,3,43,79,57,10,45,5,97,3,94,70,44,61,23,9,77,14,90,18,84,61,97,74,14,2,80,23,18,4,9,74,62,4,26,23,90,6,90,6,79,81,84,19,21,15,25,78,52,43,29,99,0,99,50,48,62,49,63,46,72,86,7,66,2,30,96,24,51,21,71,14,31,83,73,42,94,54,85,22,11,3,79
37,38,20,1,46,35,82,43,36,68,96,45,22,20,32,33,95,52,33,2,19,17,51,57,51,21,15,64,76,11,46,33,70,40,41,9,72,32,18,95,73,94,44,21,87,10,18,47,47,99,24,61,53,98,58,4,39,66,77,15,74,11,78,52,23,92,83,29,75,71,52,23,42,31,18,73,38,68,85,43,2,37,65,60,44,82,30,75,33,60,56,48,41,71,81,92,70,75,16,51,85,87,28,57,91,7,25,71,74,94,55,76,59,73,46,89,18,51,26,45,94,81,83,37,20,78,77,35,21,61,55,91,79,7,20,73,92,19,65,73,7,89,12,6,73,51,51,18,84,59
3,74,13,95,58,97,70,77,45,99,76,15,90,12,61,8,43,48,76,44,62,6,60,65,48,63,65,56,1,59,83,86,52,24,96,55,52,79,70,66,93,87,37,61,6,69,59,3,42,54,36,5,43,38,74,77,31,60,78,82,86,43,49,86,68,91,57,74,30,91,92,69,11,24,76,68,10,28,6,97,57,61,25,15,54,15,82,96,50,80,25,57,5,13,83,10,70,0,38,94,77,73,89,47,54,91,35,59,29,48,81,74,33,49,4,81,93,75,25,74,6,8,89,51,38,12,48,79,76,46,2,14,86,73,58,10,27,1,78,34,80,56,32,52,41,8,62,13,55,4
62,36,34,33,53,55,94,8,7,12,25,81,55,97,99,14,1,68,82,40,3,39,0,99,19,24,42,72,23,70,73,15,41,60,77,74,82,85,29,35,45,34,91,80,52,93,46,31,13,5,44,48,57,31,58,23,73,29,33,49,31,88,78,21,88,20,86,54,57,29,97,3,59,56,74,57,14,8,73,10,37,47,5,90,0,80,24,26,26,42,62,21,52,59,75,75,29,40,70,98,28,40,24,1,60,4,22,55,15,84,58,81,31,73,91,37,96,76,2,51,54,78,56,39,33,32,77,0,49,56,78,29,65,2,60,90,11,5,29,66,98,0,27,58,45,0,64,17,82,88
87,88,83,57,15,34,5,55,32,3,29,3,66,59,59,3,83,29,30,26,94,80,81,98,20,78,15,75,22,69,89,81,24,51,49,65,83,6,16,80,49,32,38,39,65,56,91,1,31,24,32,79,73,18,45,46,42,83,18,20,25,24,64,12,93,75,41,32,8,78,93,79,88,48,95,44,31,18,68,81,45,18,13,97,2,53,79,10,31,77,81,13,34,47,49,31,71,82,10,3,43,97,11,54,19,52,84,80,32,98,39,81,63,49,41,49,59,96,7,63,12,66,94,72,22,98,57,92,58,8,80,78,59,92,59,58,91,19,48,13,88,70,54,38,79,42,14,68,80,73
35,8,58,23,57,66,95,76,54,39,98,67,43,10,11,15,14,97,38,17,27,65,26,72,92,29,58,89,97,50,58,89,39,62,75,81,22,6,37,80,3,64,65,54,56,88,42,4,9,96,62,20,18,59,95,4,46,7,52,55,95,43,7,40,24,50,58,88,3,47,77,48,39,22,97,66,51,35,75,88,69,82,19,66,32,19,64,64,54,13,72,76,6,55,98,95,46,75,57,33,45,89,96,43,27,92,85,79,34,30,5,71,74,35,61,64,35,13,98,44,74,44,67,22,45,31,19,22,72,39,83,9,33,86,38,28,78,12,1,10,40,68,70,32,55,93,58,57,10,8
42,79,23,71,90,22,4,65,42,98,29,43,56,99,57,34,71,38,50,10,48,74,55,50,58,73,73,21,39,42,2,41,6,40,45,10,37,78,17,28,24,73,73,47,72,21,97,13,11,88,29,5,14,38,49,64,7,59,79,93,95,98,67,1,30,28,71,73,30,49,94,72,67,65,24,85,91,49,79,50,3,53,70,89,71,9,54,68,89,73,28,44,54,64,5,55,17,55,63,77,40,24,28,77,24,17,85,92,27,34,10,84,84,82,34,93,51,22,65,61,69,93,98,58,49,95,22,64,13,79,8,66,65,27,39,14,29,67,87,89,45,33,54,64,73,96,8,47,81,70
45,75,12,40,82,69,86,51,75,94,10,70,18,67,24,91,93,32,48,77,3,95,49,90,18,44,55,76,57,35,29,12,51,23,47,46,86,72,30,10,14,85,14,14,99,58,22,19,52,0,18,23,20,94,72,13,38,77,50,52,46,8,85,85,90,58,1,94,38,52,84,39,97,93,47,60,22,41,5,69,68,40,84,3,98,44,25,94,42,22,31,47,34,47,76,56,1,11,24,86,76,33,44,94,18,47,67,6,54,55,68,16,3,65,87,37,21,65,28,92,99,86,38,21,72,21,9,58,38,22,9,2,60,28,69,43,3,32,16,59,73,77,79,40,86,59,79,29,0,15
66,16,27,58,65,11,59,5,2,11,45,42,85,24,18,9,27,34,98,2,57,78,98,7,81,72,33,21,92,99,69,48,97,19,62,85,24,68,30,54,31,29,76,94,6,38,13,53,43,71,29,52,44,68,10,8,58,99,93,70,0,60,49,84,69,1,55,88,43,53,85,92,6,35,72,35,2,30,92,17,74,3,89,61,67,3,70,40,51,5,77,67,2,23,94,21,42,76,89,12,81,57,32,6,95,92,86,15,61,10,72,65,28,46,48,54,99,20,23,87,13,1,0,82,9,55,14,30,72,4,39,5,33,82,20,88,44,57,71,93,60,87,16,78,96,29,86,22,49,22
90,7,84,73,52,39,14,89,77,45,23,28,59,75,6,5,42,89,81,55,76,9,58,11,39,94,60,1,14,89,67,79,6,39,72,74,6,9,41,67,52,3,0,76,0,38,52,60,96,84,20,34,98,98,47,94,31,20,72,59,93,8,76,32,25,13,10,49,55,28,14,65,45,51,0,10,37,56,3,52,75,90,31,12,83,72,81,89,54,61,75,16,22,13,83,34,18,79,20,70,27,98,83,11,66,40,63,50,33,2,77,64,68,69,78,63,37,33,2,61,31,91,14,52,27,41,3,25,41,85,58,48,59,53,5,78,94,39,49,6,26,50,69,11,29,18,99,59,4,99
32,53,13,74,57,82,52,9,54,71,81,58,21,64,67,39,67,60,60,34,78,6,49,41,17,94,63,9,3,53,7,24,46,32,34,98,54,59,74,99,49,61,46,21,85,41,81,91,45,13,23,99,5,56,87,64,87,12,35,4,16,30,89,73,39,13,53,75,60,45,24,90,20,43,4,75,0,56,46,48,60,12,60,77,12,85,3,82,16,6,63,43,33,4,27,60,25,51,67,24,23,39,75,88,7,54,66,29,26,70,31,87,48,18,9,43,64,47,66,36,20,44,86,92,38,95,54,99,78,33,94,52,83,0,51,91,25,24,22,28,45,38,45,55,50,2,42,34,25,17
37,21,59,0,47,39,80,8,83,38,64,62,38,89,98,2,33,29,60,11,19,69,35,17,6,4,66,24,52,46,39,97,18,85,92,92,94,35,60,7,31,82,16,45,51,77,93,94,35,76,80,33,88,55,21,5,95,20,11,5,62,48,39,3,59,54,2,27,74,1,93,34,1,23,62,36,8,91,62,39,27,41,30,35,27,66,47,62,14,31,89,2,56,2,83,22,62,48,69,60,18,20,32,87,89,30,21,48,9,68,71,66,6,23,82,40,5,43,51,72,9,18,75,14,12,84,12,54,56,12,96,61,29,49,94,56,93,18,86,0,74,21,16,51,78,29,72,78,7,76
22,27,77,25,87,52,70,31,38,83,20,68,46,5,89,22,81,91,69,31,2,18,73,1,99,97,77,40,81,12,30,84,78,23,47,76,75,58,13,85,52,83,85,65,83,58,18,57,62,72,48,52,81,34,60,98,46,2,83,67,15,12,66,61,8,56,56,13,8,34,12,67,55,14,8,60,35,82,52,28,86,43,69,54,35,44,3,20,45,49,79,0,48,82,24,35,82,80,10,77,38,25,83,81,81,96,86,41,97,97,52,74,23,30,27,27,77,11,67,94,24,46,7,95,97,95,46,29,11,52,99,87,47,19,94,63,18,92,7,35,6,61,97,0,86,40,43,45,14,72
