(301,10)
(302,3)
(303,5)
(304,8)
(305,5)
(306,1)
(307,6)
(308,4)
(309,3)
(310,8)
(311,5)
(312,9)
(313,5)
(314,3)
(315,6)
(316,6)
(317,10)
(318,7)
(319,1)
(320,2)
(321,1)
(322,10)
(323,0)
(324,8)
(325,6)
(326,4)
(327,3)
(328,8)
(329,3)
(330,9)
(331,7)
(332,6)
(333,2)
(334,7)
(335,4)
(336,5)
(337,0)
(338,-1)
(339,4)
(340,4)
(341,3)
(342,5)
(343,9)
(344,9)
(345,3)
(346,5)
(347,5)
(348,7)
(349,8)
(350,0)
(351,0)
(352,2)
(353,7)
(354,5)
(355,5)
(356,5)
(357,6)
(358,7)
(359,1)
(360,3)
(361,6)
(362,4)
(363,10)
(364,2)
(365,4)
(366,6)
(367,8)
(368,6)
(369,7)
(370,1)
(371,9)
(372,5)
(373,1)
(374,10)
(375,5)
(376,4)
(377,6)
(378,5)
(379,5)
(380,1)
(381,2)
(382,4)
(383,9)
(384,4)
(385,1)
(386,6)
(387,0)
(388,4)
(389,1)
(390,6)
(391,8)
(392,5)
(393,7)
(394,0)
(395,2)
(396,4)
(397,2)
(398,9)
(399,6)
(400,4)
