(401,1)
(402,5)
(403,1)
(404,7)
(405,7)
(406,7)
(407,9)
(408,3)
(409,9)
(410,1)
(411,7)
(412,1)
(413,9)
(414,4)
(415,5)
(416,3)
(417,9)
(418,6)
(419,4)
(420,7)
(421,6)
(422,8)
(423,6)
(424,9)
(425,6)
(426,9)
(427,2)
(428,4)
(429,9)
(430,9)
(431,1)
(432,7)
(433,5)
(434,6)
(435,9)
(436,5)
(437,2)
(438,3)
(439,1)
(440,9)
(441,1)
(442,5)
(443,8)
(444,2)
(445,8)
(446,7)
(447,10)
(448,1)
(449,2)
(450,8)
(451,6)
(452,10)
(453,4)
(454,4)
(455,6)
(456,2)
(457,3)
(458,1)
(459,7)
(460,3)
(461,0)
(462,7)
(463,0)
(464,9)
(465,9)
(466,2)
(467,6)
(468,10)
(469,6)
(470,0)
(471,1)
(472,0)
(473,0)
(474,5)
(475,4)
(476,3)
(477,1)
(478,3)
(479,9)
(480,-1)
(481,10)
(482,1)
(483,6)
(484,8)
(485,0)
(486,1)
(487,0)
(488,9)
(489,5)
(490,1)
(491,1)
(492,3)
(493,3)
(494,0)
(495,7)
(496,5)
(497,10)
(498,1)
(499,4)
(500,9)
